nome,uf,municipio,icon,lat,lng,id,anda,ama,cat
Fertz Fertilizantes S/A.,PA,Barcarena,fertilizante-agk,-1.5119,-48.6195,1501303,S,S,3
Fosnor Fosfatados do Norte Nordeste Ltda.,BA,Luis Eduardo de Magalhães,fertilizante-agk,-12.0834,-45.7638,2919553,S,N,3
Fospar S/A.,PR,Paranaguá,fertilizante-agk,-25.5161,-48.5225,4118204,S,N,5
Gen Indústria e Comércio de Fertilizantes Ltda.,GO,Bom Jesus,fertilizante-agk,-9.0712,-44.359,2201903,S,S,3
Hinove Agrociência S/A,SP,Araraquara,fertilizante-agk,-21.7845,-48.178,3503208,S,N,3
ICL America do Sul S/A.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
Indústria e Comércio de Fertilizantes Rifértil Ltda.,GO,Rio Verde,fertilizante-agk,-17.7923,-50.9192,5218805,S,S,5
Itafós Arraias Mineração e Fertilizantes S/A.,TO,Arraias,fertilizante-agk,-12.9287,-46.9359,1702406,S,N,4
Interfertil Fertilizantes Ltda,PR,Curitiba,fertilizante-agk,-25.4195,-49.2646,4106902,S,N,5
Iterum Comércio Internacional Ltda.,PR,Curitiba,fertilizante-agk,-25.4195,-49.2646,4106902,S,N,5
JBS S/A.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
Josapar Joaquim Oliveira S/A. Participações,RS,Porto Alegre,fertilizante-agk,-30.0318,-51.2065,4314902,S,N,3
Louis Dreyfus Company Brasil S/A.,PR,Paranaguá,fertilizante-agk,-25.5161,-48.5225,4118204,S,S,5
Loyder Indústria de Aditivos e Fertilizantes Ltda.,SP,Olimpia,fertilizante-agk,-20.7366,-48.9106,3533908,S,S,3
Macro & Micro Comércio de Adubos Ltda.,MG,Matozinhos,fertilizante-agk,-19.5543,-44.0868,3141108,S,S,3
Mineração Curimbaba Ltda.,MG,Poços de Caldas,fertilizante-agk,-21.7800,-46.5692,3151800,S,N,4
Mineração Morro Verde Ltda.,SP,São Paulo,fertilizante-agk,-23.5329,-46.6395,3550308,S,N,3
Mixfertil Indústria e Comércio de Produtos Químicos Ltda.,SP,Paulínia,fertilizante-agk,-22.7542,-47.1488,3536505,S,S,3
